player_name,furthest_round
Jannik Sinner,W
Alexander Zverev,F
Novak Djokovic,SF
Arthur Fery,SF
Jan-Lennard Struff,QF
Félix Auger-Aliassime,QF
Flavio Cobolli,QF
Taylor Fritz,QF
Shintaro Mochizuki,R16
Hubert Hurkacz,R16
Alejandro Davidovich Fokina,R16
Roman Safiullin,R16
Alex de Minaur,R16
Grigor Dimitrov,R16
Alexander Bublik,R16
Jiří Lehečka,R16
