round,players,brier,brier_baseline,brier_skill,log_loss,log_loss_baseline,top_picks_correct
R16,16,0.082,0.1094,0.25,0.287,0.377,9/16
QF,8,0.0377,0.0586,0.36,0.152,0.234,5/8
SF,4,0.0141,0.0303,0.53,0.082,0.139,3/4
F,2,0.0081,0.0154,0.47,0.028,0.08,1/2
W,1,0.0032,0.0078,0.58,0.011,0.046,1/1
