year,player_id,pred_r2,pred_r3,pred_r4,pred_qf,pred_sf,pred_f,pred_w,actual_rounds,reached_r2,reached_r3,reached_r4,reached_qf,reached_sf,reached_f,reached_w
2010,L360,0.8755,0.6747,0.299,0.0956,0.0283,0.0054,0.0015,0,0,0,0,0,0,0,0
2010,K435,0.7942,0.6394,0.2013,0.1062,0.0419,0.0103,0.0024,2,1,1,0,0,0,0,0
2010,S843,0.2058,0.1068,0.0136,0.0036,0.0008,0.0,0.0,0,0,0,0,0,0,0,0
2010,G681,0.3834,0.0765,0.0058,0.0006,0.0,0.0,0.0,1,1,0,0,0,0,0,0
2010,D316,0.6166,0.1773,0.0233,0.0069,0.0013,0.0001,0.0,0,0,0,0,0,0,0,0
2010,L428,0.8323,0.2031,0.114,0.0569,0.0167,0.0033,0.0002,1,1,0,0,0,0,0,0
2010,W387,0.1677,0.012,0.0032,0.0005,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2010,R485,0.9384,0.77,0.6349,0.4934,0.3084,0.1372,0.064,3,1,1,1,0,0,0,0
2010,R548,0.0616,0.0149,0.0039,0.0009,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2010,F510,0.1164,0.0683,0.0227,0.005,0.0006,0.0001,0.0,2,1,1,0,0,0,0,0
2010,V306,0.8836,0.8086,0.641,0.433,0.2174,0.0765,0.0256,0,0,0,0,0,0,0,0
2010,R368,0.4604,0.0507,0.0131,0.0027,0.0004,0.0,0.0,1,1,0,0,0,0,0,0
2010,R750,0.5396,0.0724,0.0214,0.0049,0.0005,0.0,0.0,0,0,0,0,0,0,0,0
2010,BA86,0.8846,0.4364,0.1259,0.0433,0.0098,0.0013,0.0002,1,1,0,0,0,0,0,0
2010,BA53,0.1154,0.0146,0.0015,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2010,B747,0.7219,0.4416,0.1537,0.0645,0.0169,0.0034,0.0002,3,1,1,1,0,0,0,0
2010,V309,0.2781,0.1074,0.0207,0.0047,0.0006,0.0001,0.0,0,0,0,0,0,0,0,0
2010,SA93,0.2893,0.1071,0.0339,0.0097,0.0015,0.0001,0.0,1,1,0,0,0,0,0,0
2010,A479,0.7107,0.411,0.1985,0.0818,0.0248,0.0051,0.0008,0,0,0,0,0,0,0,0
2010,K839,0.1909,0.0443,0.0091,0.0007,0.0,0.0,0.0,2,1,1,0,0,0,0,0
2010,G476,0.8091,0.4376,0.2015,0.0851,0.0257,0.0047,0.0012,0,0,0,0,0,0,0,0
2010,D801,0.5626,0.1448,0.0495,0.0126,0.002,0.0002,0.0,1,1,0,0,0,0,0,0
2010,C582,0.4374,0.0908,0.0283,0.0053,0.0006,0.0002,0.0,0,0,0,0,0,0,0,0
2010,T786,0.876,0.7153,0.4693,0.2449,0.103,0.0288,0.0067,4,1,1,1,1,0,0,0
2010,K448,0.124,0.0491,0.0099,0.0018,0.0002,0.0,0.0,0,0,0,0,0,0,0,0
2010,M680,0.3315,0.2524,0.1093,0.028,0.0097,0.002,0.0004,2,1,1,0,0,0,0,0
2010,F316,0.6685,0.5776,0.3439,0.1321,0.0661,0.0184,0.0059,0,0,0,0,0,0,0,0
2010,R782,0.5447,0.0991,0.0212,0.0027,0.0005,0.0,0.0,1,1,0,0,0,0,0,0
2010,D424,0.4553,0.0709,0.0142,0.0017,0.0005,0.0,0.0,0,0,0,0,0,0,0,0
2010,D646,0.7585,0.2046,0.0703,0.0125,0.0027,0.0003,0.0,1,1,0,0,0,0,0,0
2010,H472,0.2415,0.0289,0.0048,0.0001,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2010,Q927,0.5706,0.4482,0.2661,0.0938,0.0466,0.0122,0.0029,3,1,1,1,0,0,0,0
2010,SC77,0.4294,0.3183,0.1702,0.0548,0.0222,0.0055,0.0008,0,0,0,0,0,0,0,0
2010,SD32,0.8066,0.5766,0.1538,0.0677,0.0254,0.0063,0.0011,2,1,1,0,0,0,0,0
2010,A656,0.1934,0.0684,0.0066,0.0014,0.0003,0.0,0.0,0,0,0,0,0,0,0,0
2010,ME89,0.5014,0.1787,0.0276,0.0083,0.0018,0.0001,0.0,1,1,0,0,0,0,0,0
2010,B678,0.4986,0.1763,0.0282,0.0091,0.0019,0.0002,0.0,0,0,0,0,0,0,0,0
2010,N289,0.6035,0.0838,0.0354,0.0102,0.0027,0.0003,0.0001,1,1,0,0,0,0,0,0
2010,K310,0.3965,0.0384,0.0126,0.0029,0.0003,0.0,0.0,0,0,0,0,0,0,0,0
2010,MC10,0.9304,0.8494,0.7267,0.5726,0.415,0.1979,0.0873,5,1,1,1,1,1,0,0
2010,H571,0.0696,0.0284,0.0091,0.0021,0.0003,0.0001,0.0001,0,0,0,0,0,0,0,0
2010,SA49,0.8726,0.7372,0.6038,0.3992,0.1389,0.0721,0.024,4,1,1,1,1,0,0,0
2010,G569,0.1274,0.0597,0.0271,0.0077,0.0006,0.0001,0.0,0,0,0,0,0,0,0,0
2010,G710,0.5643,0.1229,0.0646,0.0203,0.0024,0.0004,0.0,1,1,0,0,0,0,0,0
2010,G717,0.4357,0.0802,0.0363,0.0083,0.0007,0.0001,0.0,0,0,0,0,0,0,0,0
2010,F580,0.2958,0.0535,0.0052,0.0006,0.0,0.0,0.0,1,1,0,0,0,0,0,0
2010,SC47,0.7042,0.2224,0.038,0.0073,0.0007,0.0001,0.0,0,0,0,0,0,0,0,0
2010,BD20,0.826,0.6463,0.2154,0.0855,0.0157,0.0034,0.0005,2,1,1,0,0,0,0,0
2010,M708,0.174,0.0778,0.0096,0.0011,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2010,L797,0.2267,0.106,0.024,0.0052,0.0004,0.0,0.0,1,1,0,0,0,0,0,0
2010,B837,0.7733,0.5838,0.2643,0.1164,0.0228,0.0074,0.0015,0,0,0,0,0,0,0,0
2010,CA12,0.6145,0.2111,0.0579,0.0154,0.001,0.0002,0.0,2,1,1,0,0,0,0,0
2010,G676,0.3855,0.0991,0.0187,0.0034,0.0005,0.0,0.0,0,0,0,0,0,0,0,0
2010,S963,0.5233,0.1155,0.0465,0.0142,0.0014,0.0001,0.0001,1,1,0,0,0,0,0,0
2010,G511,0.4767,0.0982,0.0356,0.0091,0.0011,0.0003,0.0,0,0,0,0,0,0,0,0
2010,F401,0.7153,0.6001,0.4555,0.2716,0.0849,0.0386,0.0127,3,1,1,1,0,0,0,0
2010,K316,0.2847,0.1862,0.0975,0.0347,0.0079,0.0023,0.0003,0,0,0,0,0,0,0,0
2010,Y061,0.7516,0.5783,0.4277,0.1016,0.0477,0.0177,0.0041,1,1,0,0,0,0,0,0
2010,SC56,0.2484,0.1298,0.0622,0.0071,0.0025,0.0002,0.0,0,0,0,0,0,0,0,0
2010,M850,0.5279,0.1543,0.072,0.0078,0.0015,0.0004,0.0,3,1,1,1,0,0,0,0
2010,G436,0.4721,0.1376,0.0616,0.0059,0.0016,0.0002,0.0,0,0,0,0,0,0,0,0
2010,D776,0.4451,0.2018,0.0705,0.0081,0.0014,0.0002,0.0,2,1,1,0,0,0,0,0
2010,G725,0.5549,0.2721,0.1017,0.014,0.0048,0.0013,0.0002,0,0,0,0,0,0,0,0
2010,I186,0.5143,0.2804,0.1117,0.0128,0.0044,0.0008,0.0002,1,1,0,0,0,0,0,0
2010,M873,0.4857,0.2457,0.0926,0.0104,0.0022,0.0005,0.0002,0,0,0,0,0,0,0,0
2010,P624,0.7565,0.6007,0.0913,0.0482,0.0193,0.0057,0.001,2,1,1,0,0,0,0,0
2010,R612,0.2435,0.1375,0.0087,0.0021,0.0001,0.0001,0.0,0,0,0,0,0,0,0,0
2010,K540,0.5246,0.1403,0.0063,0.0012,0.0005,0.0,0.0,1,1,0,0,0,0,0,0
2010,K834,0.4754,0.1215,0.0063,0.0016,0.0003,0.0,0.0,0,0,0,0,0,0,0,0
2010,H756,0.1869,0.0068,0.002,0.0005,0.0,0.0,0.0,1,1,0,0,0,0,0,0
2010,B676,0.8131,0.0975,0.0581,0.0313,0.0119,0.0044,0.0006,0,0,0,0,0,0,0,0
2010,N409,0.9651,0.8827,0.823,0.7458,0.6227,0.4796,0.293,7,1,1,1,1,1,1,1
2010,N552,0.0349,0.013,0.0043,0.0016,0.0001,0.0,0.0,0,0,0,0,0,0,0,0
2011,N409,0.9791,0.9479,0.8608,0.7258,0.6253,0.4788,0.2732,6,1,1,1,1,1,1,0
2011,R368,0.0209,0.0084,0.0015,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2011,SG87,0.5429,0.0249,0.0069,0.0012,0.0001,0.0,0.0,1,1,0,0,0,0,0,0
2011,A596,0.4571,0.0188,0.0042,0.0006,0.0,0.0,0.0,0,0,0,0,0,0,0,0
