blend_w,log_loss,brier,accuracy
0.0,0.5451897394810948,0.18322578706874704,0.720844327176781
0.05,0.5423665134537584,0.18228287360875098,0.7240105540897097
0.1,0.5399654471406871,0.1814673204791947,0.7271767810026385
0.15,0.5379960270939268,0.18078765927816196,0.7266490765171504
0.2,0.536467452662661,0.18025251305603224,0.7240105540897097
0.25,0.5353885461855648,0.17987042942848924,0.7240105540897097
0.3,0.5347676573971203,0.1796496900388097,0.7218997361477573
0.35,0.5346125652271595,0.1795981090752798,0.7240105540897097
0.4,0.5349303802014425,0.17972283241452988,0.725065963060686
0.45,0.5357274503982261,0.18003014631681383,0.725065963060686
0.5,0.5370092734976519,0.18052530165448172,0.7240105540897097
0.55,0.5387804169976048,0.18121235738714278,0.7261213720316623
0.6,0.5410444482524652,0.18209404574779908,0.7218997361477573
0.65,0.5438038756688339,0.18317166112054029,0.7192612137203166
0.7,0.5470601021797254,0.1844449744563502,0.7160949868073878
0.75,0.5508133920119056,0.18591217516968722,0.712401055408971
0.8,0.5550628517432188,0.18756984305375507,0.7129287598944591
0.85,0.5598064266789609,0.18941295412258757,0.7155672823218997
0.9,0.5650409135828677,0.1914349261477469,0.712401055408971
0.95,0.5707619906666253,0.19362771089300984,0.7087071240105541
1.0,0.5769642653517998,0.1959819390850987,0.7023746701846966
