year,round,winner,loser,prob_winner,correct
2010,R64,Rafael Nadal,Robin Haase,0.976886402746851,1
2010,R32,Daniel Brands,Victor Hanescu,0.3512715048842872,0
2010,R32,Roger Federer,Arnaud Clement,0.9616211763461506,1
2010,R32,Jurgen Melzer,Feliciano Lopez,0.591783140221607,1
2010,R32,Tomas Berdych,Denis Istomin,0.7788662377328939,1
2010,R32,Yen-Hsun Lu,Florian Mayer,0.3010308926393826,0
2010,R32,Lleyton Hewitt,Gael Monfils,0.7489942650823831,1
2010,R32,Novak Djokovic,Albert Montanes,0.8609040744781302,1
2010,R32,Julien Benneteau,Fabio Fognini,0.7083625126948948,1
2010,R32,Andy Roddick,Philipp Kohlschreiber,0.768176621206848,1
2010,R32,Robin Soderling,Thomaz Bellucci,0.7713520362348247,1
2010,R32,David Ferrer,Jeremy Chardy,0.8341320438237648,1
2010,R32,Paul-Henri Mathieu,Thiemo de Bakker,0.562407104363076,1
2010,R128,Rafael Nadal,Kei Nishikori,0.9662549096864991,1
2010,R64,Roger Federer,Ilija Bozoljac,0.9803547927621575,1
2010,R64,Arnaud Clement,Peter Luczak,0.5955564262250904,1
2010,R64,Feliciano Lopez,Ricardas Berankis,0.7051491008063815,1
2010,R64,Jurgen Melzer,Viktor Troicki,0.64956983434229,1
2010,R64,Tomas Berdych,Benjamin Becker,0.7282576562562761,1
2010,R64,Sam Querrey,Ivan Dodig,0.7660086251442105,1
2010,R64,Andy Murray,Jarkko Nieminen,0.8913939427727608,1
2010,R64,Robin Soderling,Marcel Granollers,0.8120518289519735,1
2010,QF,Novak Djokovic,Yen-Hsun Lu,0.9332334792909409,1
2010,QF,Andy Murray,Jo-Wilfried Tsonga,0.739423337885707,1
2010,QF,Rafael Nadal,Robin Soderling,0.8019753298545009,1
2010,R64,Paul-Henri Mathieu,Mikhail Youzhny,0.27616430412651066,0
2010,R64,Thiemo de Bakker,John Isner,0.4817030805101673,0
2010,R64,Philipp Petzschner,Lukasz Kubot,0.7982857768798317,1
2010,R128,Marsel Ilhan,Marcos Daniel,0.6522599183137403,1
2010,R128,Daniel Brands,Igor Andreev,0.3552066537067284,0
2010,R128,Rainer Schuettler,Dmitry Tursunov,0.4159806907908666,0
2010,R128,Benjamin Becker,Ryan Sweeting,0.783773913812182,1
2010,R128,Michal Przysiezny,Ivan Ljubicic,0.156762247377602,0
2010,R128,Mardy Fish,Bernard Tomic,0.7957683407078956,1
2010,R64,Denis Istomin,Rainer Schuettler,0.5462250301514107,1
2010,R128,Denis Istomin,Stan Wawrinka,0.3598319077417105,0
2010,R128,Yen-Hsun Lu,Horacio Zeballos,0.40966405987186655,0
2011,QF,Andy Murray,Feliciano Lopez,0.8356972569400026,1
2011,QF,Jo-Wilfried Tsonga,Roger Federer,0.14429018134618948,0
2011,R128,Stan Wawrinka,Potito Starace,0.7704869369421262,1
2011,R128,Simone Bolelli,Martin Fischer,0.7441618464405046,1
2011,R128,Rafael Nadal,Michael Russell,0.9794801390957604,1
2011,R128,Guillermo Garcia-Lopez,Andrey Golubev,0.7616810151948236,1
2011,R128,Gilles Muller,Tommy Haas,0.13328563252363745,0
2011,R128,Ryan Sweeting,Pablo Andujar,0.560769842847033,1
2011,R128,Rik De Voest,Ruben Ramirez Hidalgo,0.5461126614932094,1
2011,R128,Grigor Dimitrov,Cedrik-Marcel Stebe,0.5703601579549311,1
2011,R128,Jo-Wilfried Tsonga,Go Soeda,0.9045421322997632,1
